Professione1;Professione2;common skilz
Addetti alla gestione degli stock;Esattori di crediti ed assimilati;26
Addetti alla gestione degli stock;Dirigenti nei servizi sanitari;31
Addetti alla gestione degli stock;Specialisti nell'assistenza sociale e nell'orientamento;26
Addetti alla gestione degli stock;Tecnici dei centri di informazione;33
Addetti alla gestione degli stock;Aiuto contabili;28
Addetti alla gestione degli stock;Ingegneri elettronici;23
Addetti alla gestione degli stock;Addetti all'informazione;31
Addetti alla gestione degli stock;Contabili;27
Addetti alla gestione degli stock;Dirigenti nel commercio all'ingrosso e al dettaglio;30
Tecnici delle scienze sociali;Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;44
Tecnici delle scienze sociali;Dirigenti nei servizi di vendita e commercializzazione;37
Tecnici delle scienze sociali;Addetti a servizi statistici, finanziari e assicurativi;32
Tecnici delle scienze sociali;Agenti immobiliari e amministratori;44
Tecnici delle scienze sociali;Segretari addetti a mansioni amministrative ed esecutive;30
Tecnici delle scienze sociali;Sviluppatori di software;22
Tecnici delle scienze sociali;Dirigenti dell'industria manifatturiera;37
Tecnici delle scienze sociali;Addetti alla gestione amministrativa dei trasporti;28
Tecnici delle scienze sociali;Tecnici per la gestione dell'informazione e della comunicazione;41
Tecnici delle scienze sociali;Disegnatori industriali;28
Tecnici delle scienze sociali;Chef;22
Tecnici delle scienze sociali;Responsabili degli acquisti;39
Tecnici delle scienze sociali;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;26
Tecnici delle scienze sociali;Sviluppatori Web e multimediali;29
Tecnici delle scienze sociali;Dirigenti nel settore ricerca e sviluppo;37
Tecnici delle scienze sociali;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;36
Tecnici delle scienze sociali;Grafici e progettisti multimediali;32
Tecnici delle scienze sociali;Specialisti della pubblicitˆ e del marketing;29
Tecnici delle scienze sociali;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;37
Tecnici delle scienze sociali;Dirigenti nei servizi finanziari;31
Tecnici delle scienze sociali;Esattori di crediti ed assimilati;30
Tecnici delle scienze sociali;Dirigenti nei servizi sanitari;39
Tecnici delle scienze sociali;Specialisti nell'assistenza sociale e nell'orientamento;39
Tecnici delle scienze sociali;Tecnici dei centri di informazione;37
Tecnici delle scienze sociali;Aiuto contabili;27
Tecnici delle scienze sociali;Ingegneri elettronici;23
Tecnici delle scienze sociali;Addetti all'informazione;28
Tecnici delle scienze sociali;Contabili;33
Tecnici delle scienze sociali;Dirigenti nel commercio all'ingrosso e al dettaglio;40
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Dirigenti nei servizi di vendita e commercializzazione;98
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Addetti a servizi statistici, finanziari e assicurativi;69
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Agenti immobiliari e amministratori;92
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Segretari addetti a mansioni amministrative ed esecutive;69
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Sviluppatori di software;61
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Dirigenti dell'industria manifatturiera;88
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Addetti alla gestione amministrativa dei trasporti;59
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Tecnici per la gestione dell'informazione e della comunicazione;81
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Disegnatori industriali;63
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Chef;49
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Responsabili degli acquisti;86
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;60
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Sviluppatori Web e multimediali;68
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Dirigenti nel settore ricerca e sviluppo;82
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;80
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Grafici e progettisti multimediali;62
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Specialisti della pubblicitˆ e del marketing;76
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;86
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Dirigenti nei servizi finanziari;76
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Esattori di crediti ed assimilati;57
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Dirigenti nei servizi sanitari;85
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Specialisti nell'assistenza sociale e nell'orientamento;61
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Tecnici dei centri di informazione;73
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Aiuto contabili;59
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Ingegneri elettronici;53
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Addetti all'informazione;54
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Contabili;77
Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;Dirigenti nel commercio all'ingrosso e al dettaglio;99
Dirigenti nei servizi di vendita e commercializzazione;Addetti a servizi statistici, finanziari e assicurativi;74
Dirigenti nei servizi di vendita e commercializzazione;Agenti immobiliari e amministratori;97
Dirigenti nei servizi di vendita e commercializzazione;Segretari addetti a mansioni amministrative ed esecutive;72
Dirigenti nei servizi di vendita e commercializzazione;Sviluppatori di software;60
Dirigenti nei servizi di vendita e commercializzazione;Dirigenti dell'industria manifatturiera;83
Dirigenti nei servizi di vendita e commercializzazione;Addetti alla gestione amministrativa dei trasporti;45
Dirigenti nei servizi di vendita e commercializzazione;Tecnici per la gestione dell'informazione e della comunicazione;64
Dirigenti nei servizi di vendita e commercializzazione;Disegnatori industriali;56
Dirigenti nei servizi di vendita e commercializzazione;Chef;47
Dirigenti nei servizi di vendita e commercializzazione;Responsabili degli acquisti;91
Dirigenti nei servizi di vendita e commercializzazione;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;57
Dirigenti nei servizi di vendita e commercializzazione;Sviluppatori Web e multimediali;64
Dirigenti nei servizi di vendita e commercializzazione;Dirigenti nel settore ricerca e sviluppo;88
Dirigenti nei servizi di vendita e commercializzazione;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;86
Dirigenti nei servizi di vendita e commercializzazione;Grafici e progettisti multimediali;54
Dirigenti nei servizi di vendita e commercializzazione;Specialisti della pubblicitˆ e del marketing;88
Dirigenti nei servizi di vendita e commercializzazione;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;95
Dirigenti nei servizi di vendita e commercializzazione;Dirigenti nei servizi finanziari;85
Dirigenti nei servizi di vendita e commercializzazione;Esattori di crediti ed assimilati;55
Dirigenti nei servizi di vendita e commercializzazione;Dirigenti nei servizi sanitari;73
Dirigenti nei servizi di vendita e commercializzazione;Specialisti nell'assistenza sociale e nell'orientamento;59
Dirigenti nei servizi di vendita e commercializzazione;Tecnici dei centri di informazione;68
Dirigenti nei servizi di vendita e commercializzazione;Aiuto contabili;58
Dirigenti nei servizi di vendita e commercializzazione;Ingegneri elettronici;47
Dirigenti nei servizi di vendita e commercializzazione;Addetti all'informazione;52
Dirigenti nei servizi di vendita e commercializzazione;Contabili;86
Dirigenti nei servizi di vendita e commercializzazione;Dirigenti nel commercio all'ingrosso e al dettaglio;119
Addetti a servizi statistici, finanziari e assicurativi;Agenti immobiliari e amministratori;82
Addetti a servizi statistici, finanziari e assicurativi;Segretari addetti a mansioni amministrative ed esecutive;67
Addetti a servizi statistici, finanziari e assicurativi;Sviluppatori di software;41
Addetti a servizi statistici, finanziari e assicurativi;Dirigenti dell'industria manifatturiera;60
Addetti a servizi statistici, finanziari e assicurativi;Addetti alla gestione amministrativa dei trasporti;49
Addetti a servizi statistici, finanziari e assicurativi;Tecnici per la gestione dell'informazione e della comunicazione;61
Addetti a servizi statistici, finanziari e assicurativi;Disegnatori industriali;52
Addetti a servizi statistici, finanziari e assicurativi;Chef;34
Addetti a servizi statistici, finanziari e assicurativi;Responsabili degli acquisti;71
Addetti a servizi statistici, finanziari e assicurativi;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;48
Addetti a servizi statistici, finanziari e assicurativi;Sviluppatori Web e multimediali;52
Addetti a servizi statistici, finanziari e assicurativi;Dirigenti nel settore ricerca e sviluppo;57
Addetti a servizi statistici, finanziari e assicurativi;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;57
Addetti a servizi statistici, finanziari e assicurativi;Grafici e progettisti multimediali;47
Addetti a servizi statistici, finanziari e assicurativi;Specialisti della pubblicitˆ e del marketing;57
Addetti a servizi statistici, finanziari e assicurativi;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;67
Addetti a servizi statistici, finanziari e assicurativi;Dirigenti nei servizi finanziari;67
Addetti a servizi statistici, finanziari e assicurativi;Esattori di crediti ed assimilati;58
Addetti a servizi statistici, finanziari e assicurativi;Dirigenti nei servizi sanitari;57
Addetti a servizi statistici, finanziari e assicurativi;Specialisti nell'assistenza sociale e nell'orientamento;47
Addetti a servizi statistici, finanziari e assicurativi;Tecnici dei centri di informazione;57
Addetti a servizi statistici, finanziari e assicurativi;Aiuto contabili;68
Addetti a servizi statistici, finanziari e assicurativi;Ingegneri elettronici;35
Addetti a servizi statistici, finanziari e assicurativi;Addetti all'informazione;48
Addetti a servizi statistici, finanziari e assicurativi;Contabili;70
Addetti a servizi statistici, finanziari e assicurativi;Dirigenti nel commercio all'ingrosso e al dettaglio;77
Agenti immobiliari e amministratori;Segretari addetti a mansioni amministrative ed esecutive;75
Agenti immobiliari e amministratori;Sviluppatori di software;52
Agenti immobiliari e amministratori;Dirigenti dell'industria manifatturiera;84
Agenti immobiliari e amministratori;Addetti alla gestione amministrativa dei trasporti;60
Agenti immobiliari e amministratori;Tecnici per la gestione dell'informazione e della comunicazione;82
Agenti immobiliari e amministratori;Disegnatori industriali;62
Agenti immobiliari e amministratori;Chef;48
Agenti immobiliari e amministratori;Responsabili degli acquisti;89
Agenti immobiliari e amministratori;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;60
Agenti immobiliari e amministratori;Sviluppatori Web e multimediali;60
Agenti immobiliari e amministratori;Dirigenti nel settore ricerca e sviluppo;71
Agenti immobiliari e amministratori;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;76
Agenti immobiliari e amministratori;Grafici e progettisti multimediali;62
Agenti immobiliari e amministratori;Specialisti della pubblicitˆ e del marketing;82
Agenti immobiliari e amministratori;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;84
Agenti immobiliari e amministratori;Dirigenti nei servizi finanziari;76
Agenti immobiliari e amministratori;Esattori di crediti ed assimilati;63
Agenti immobiliari e amministratori;Dirigenti nei servizi sanitari;83
Agenti immobiliari e amministratori;Specialisti nell'assistenza sociale e nell'orientamento;64
Agenti immobiliari e amministratori;Tecnici dei centri di informazione;85
Agenti immobiliari e amministratori;Aiuto contabili;73
Agenti immobiliari e amministratori;Ingegneri elettronici;46
Agenti immobiliari e amministratori;Addetti all'informazione;63
Agenti immobiliari e amministratori;Contabili;84
Agenti immobiliari e amministratori;Dirigenti nel commercio all'ingrosso e al dettaglio;97
Segretari addetti a mansioni amministrative ed esecutive;Sviluppatori di software;48
Segretari addetti a mansioni amministrative ed esecutive;Dirigenti dell'industria manifatturiera;66
Segretari addetti a mansioni amministrative ed esecutive;Addetti alla gestione amministrativa dei trasporti;50
Segretari addetti a mansioni amministrative ed esecutive;Tecnici per la gestione dell'informazione e della comunicazione;66
Segretari addetti a mansioni amministrative ed esecutive;Disegnatori industriali;57
Segretari addetti a mansioni amministrative ed esecutive;Chef;36
Segretari addetti a mansioni amministrative ed esecutive;Responsabili degli acquisti;79
Segretari addetti a mansioni amministrative ed esecutive;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;55
Segretari addetti a mansioni amministrative ed esecutive;Sviluppatori Web e multimediali;51
Segretari addetti a mansioni amministrative ed esecutive;Dirigenti nel settore ricerca e sviluppo;62
Segretari addetti a mansioni amministrative ed esecutive;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;64
Segretari addetti a mansioni amministrative ed esecutive;Grafici e progettisti multimediali;47
Segretari addetti a mansioni amministrative ed esecutive;Specialisti della pubblicitˆ e del marketing;56
Segretari addetti a mansioni amministrative ed esecutive;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;68
Segretari addetti a mansioni amministrative ed esecutive;Dirigenti nei servizi finanziari;70
Segretari addetti a mansioni amministrative ed esecutive;Esattori di crediti ed assimilati;48
Segretari addetti a mansioni amministrative ed esecutive;Dirigenti nei servizi sanitari;61
Segretari addetti a mansioni amministrative ed esecutive;Specialisti nell'assistenza sociale e nell'orientamento;52
Segretari addetti a mansioni amministrative ed esecutive;Tecnici dei centri di informazione;59
Segretari addetti a mansioni amministrative ed esecutive;Aiuto contabili;58
Segretari addetti a mansioni amministrative ed esecutive;Ingegneri elettronici;41
Segretari addetti a mansioni amministrative ed esecutive;Addetti all'informazione;54
Segretari addetti a mansioni amministrative ed esecutive;Contabili;69
Segretari addetti a mansioni amministrative ed esecutive;Dirigenti nel commercio all'ingrosso e al dettaglio;76
Sviluppatori di software;Dirigenti dell'industria manifatturiera;53
Sviluppatori di software;Addetti alla gestione amministrativa dei trasporti;31
Sviluppatori di software;Tecnici per la gestione dell'informazione e della comunicazione;61
Sviluppatori di software;Disegnatori industriali;44
Sviluppatori di software;Chef;31
Sviluppatori di software;Responsabili degli acquisti;53
Sviluppatori di software;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;63
Sviluppatori di software;Sviluppatori Web e multimediali;84
Sviluppatori di software;Dirigenti nel settore ricerca e sviluppo;57
Sviluppatori di software;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;69
Sviluppatori di software;Grafici e progettisti multimediali;49
Sviluppatori di software;Specialisti della pubblicitˆ e del marketing;56
Sviluppatori di software;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;56
Sviluppatori di software;Dirigenti nei servizi finanziari;51
Sviluppatori di software;Esattori di crediti ed assimilati;32
Sviluppatori di software;Dirigenti nei servizi sanitari;42
Sviluppatori di software;Specialisti nell'assistenza sociale e nell'orientamento;43
Sviluppatori di software;Tecnici dei centri di informazione;42
Sviluppatori di software;Aiuto contabili;34
Sviluppatori di software;Ingegneri elettronici;46
Sviluppatori di software;Addetti all'informazione;35
Sviluppatori di software;Contabili;55
Sviluppatori di software;Dirigenti nel commercio all'ingrosso e al dettaglio;61
Dirigenti dell'industria manifatturiera;Addetti alla gestione amministrativa dei trasporti;59
Dirigenti dell'industria manifatturiera;Tecnici per la gestione dell'informazione e della comunicazione;73
Dirigenti dell'industria manifatturiera;Disegnatori industriali;67
Dirigenti dell'industria manifatturiera;Chef;47
Dirigenti dell'industria manifatturiera;Responsabili degli acquisti;85
Dirigenti dell'industria manifatturiera;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;59
Dirigenti dell'industria manifatturiera;Sviluppatori Web e multimediali;56
Dirigenti dell'industria manifatturiera;Dirigenti nel settore ricerca e sviluppo;83
Dirigenti dell'industria manifatturiera;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;80
Dirigenti dell'industria manifatturiera;Grafici e progettisti multimediali;52
Dirigenti dell'industria manifatturiera;Specialisti della pubblicitˆ e del marketing;61
Dirigenti dell'industria manifatturiera;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;94
Dirigenti dell'industria manifatturiera;Dirigenti nei servizi finanziari;72
Dirigenti dell'industria manifatturiera;Esattori di crediti ed assimilati;56
Dirigenti dell'industria manifatturiera;Dirigenti nei servizi sanitari;87
Dirigenti dell'industria manifatturiera;Specialisti nell'assistenza sociale e nell'orientamento;60
Dirigenti dell'industria manifatturiera;Tecnici dei centri di informazione;69
Dirigenti dell'industria manifatturiera;Aiuto contabili;61
Dirigenti dell'industria manifatturiera;Ingegneri elettronici;53
Dirigenti dell'industria manifatturiera;Addetti all'informazione;54
Dirigenti dell'industria manifatturiera;Contabili;75
Dirigenti dell'industria manifatturiera;Dirigenti nel commercio all'ingrosso e al dettaglio;89
Addetti alla gestione amministrativa dei trasporti;Tecnici per la gestione dell'informazione e della comunicazione;59
Addetti alla gestione amministrativa dei trasporti;Disegnatori industriali;48
Addetti alla gestione amministrativa dei trasporti;Chef;24
Addetti alla gestione amministrativa dei trasporti;Responsabili degli acquisti;65
Addetti alla gestione amministrativa dei trasporti;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;47
Addetti alla gestione amministrativa dei trasporti;Sviluppatori Web e multimediali;40
Addetti alla gestione amministrativa dei trasporti;Dirigenti nel settore ricerca e sviluppo;42
Addetti alla gestione amministrativa dei trasporti;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;45
Addetti alla gestione amministrativa dei trasporti;Grafici e progettisti multimediali;39
Addetti alla gestione amministrativa dei trasporti;Specialisti della pubblicitˆ e del marketing;34
Addetti alla gestione amministrativa dei trasporti;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;49
Addetti alla gestione amministrativa dei trasporti;Dirigenti nei servizi finanziari;37
Addetti alla gestione amministrativa dei trasporti;Esattori di crediti ed assimilati;54
Addetti alla gestione amministrativa dei trasporti;Dirigenti nei servizi sanitari;51
Addetti alla gestione amministrativa dei trasporti;Specialisti nell'assistenza sociale e nell'orientamento;33
Addetti alla gestione amministrativa dei trasporti;Tecnici dei centri di informazione;57
Addetti alla gestione amministrativa dei trasporti;Aiuto contabili;53
Addetti alla gestione amministrativa dei trasporti;Ingegneri elettronici;36
Addetti alla gestione amministrativa dei trasporti;Addetti all'informazione;42
Addetti alla gestione amministrativa dei trasporti;Contabili;47
Addetti alla gestione amministrativa dei trasporti;Dirigenti nel commercio all'ingrosso e al dettaglio;51
Tecnici per la gestione dell'informazione e della comunicazione;Disegnatori industriali;65
Tecnici per la gestione dell'informazione e della comunicazione;Chef;42
Tecnici per la gestione dell'informazione e della comunicazione;Responsabili degli acquisti;77
Tecnici per la gestione dell'informazione e della comunicazione;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;71
Tecnici per la gestione dell'informazione e della comunicazione;Sviluppatori Web e multimediali;67
Tecnici per la gestione dell'informazione e della comunicazione;Dirigenti nel settore ricerca e sviluppo;58
Tecnici per la gestione dell'informazione e della comunicazione;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;73
Tecnici per la gestione dell'informazione e della comunicazione;Grafici e progettisti multimediali;54
Tecnici per la gestione dell'informazione e della comunicazione;Specialisti della pubblicitˆ e del marketing;54
Tecnici per la gestione dell'informazione e della comunicazione;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;66
Tecnici per la gestione dell'informazione e della comunicazione;Dirigenti nei servizi finanziari;59
Tecnici per la gestione dell'informazione e della comunicazione;Esattori di crediti ed assimilati;52
Tecnici per la gestione dell'informazione e della comunicazione;Dirigenti nei servizi sanitari;68
Tecnici per la gestione dell'informazione e della comunicazione;Specialisti nell'assistenza sociale e nell'orientamento;55
Tecnici per la gestione dell'informazione e della comunicazione;Tecnici dei centri di informazione;70
Tecnici per la gestione dell'informazione e della comunicazione;Aiuto contabili;62
Tecnici per la gestione dell'informazione e della comunicazione;Ingegneri elettronici;52
Tecnici per la gestione dell'informazione e della comunicazione;Addetti all'informazione;52
Tecnici per la gestione dell'informazione e della comunicazione;Contabili;65
Tecnici per la gestione dell'informazione e della comunicazione;Dirigenti nel commercio all'ingrosso e al dettaglio;70
Disegnatori industriali;Chef;36
Disegnatori industriali;Responsabili degli acquisti;67
Disegnatori industriali;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;59
Disegnatori industriali;Sviluppatori Web e multimediali;56
Disegnatori industriali;Dirigenti nel settore ricerca e sviluppo;60
Disegnatori industriali;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;55
Disegnatori industriali;Grafici e progettisti multimediali;53
Disegnatori industriali;Specialisti della pubblicitˆ e del marketing;46
Disegnatori industriali;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;59
Disegnatori industriali;Dirigenti nei servizi finanziari;47
Disegnatori industriali;Esattori di crediti ed assimilati;40
Disegnatori industriali;Dirigenti nei servizi sanitari;54
Disegnatori industriali;Specialisti nell'assistenza sociale e nell'orientamento;45
Disegnatori industriali;Tecnici dei centri di informazione;53
Disegnatori industriali;Aiuto contabili;45
Disegnatori industriali;Ingegneri elettronici;47
Disegnatori industriali;Addetti all'informazione;43
Disegnatori industriali;Contabili;53
Disegnatori industriali;Dirigenti nel commercio all'ingrosso e al dettaglio;56
Chef;Responsabili degli acquisti;42
Chef;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;34
Chef;Sviluppatori Web e multimediali;37
Chef;Dirigenti nel settore ricerca e sviluppo;44
Chef;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;39
Chef;Grafici e progettisti multimediali;33
Chef;Specialisti della pubblicitˆ e del marketing;39
Chef;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;46
Chef;Dirigenti nei servizi finanziari;41
Chef;Esattori di crediti ed assimilati;26
Chef;Dirigenti nei servizi sanitari;45
Chef;Specialisti nell'assistenza sociale e nell'orientamento;39
Chef;Tecnici dei centri di informazione;35
Chef;Aiuto contabili;32
Chef;Ingegneri elettronici;30
Chef;Addetti all'informazione;29
Chef;Contabili;38
Chef;Dirigenti nel commercio all'ingrosso e al dettaglio;47
Responsabili degli acquisti;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;61
Responsabili degli acquisti;Sviluppatori Web e multimediali;60
Responsabili degli acquisti;Dirigenti nel settore ricerca e sviluppo;74
Responsabili degli acquisti;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;76
Responsabili degli acquisti;Grafici e progettisti multimediali;50
Responsabili degli acquisti;Specialisti della pubblicitˆ e del marketing;73
Responsabili degli acquisti;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;86
Responsabili degli acquisti;Dirigenti nei servizi finanziari;72
Responsabili degli acquisti;Esattori di crediti ed assimilati;63
Responsabili degli acquisti;Dirigenti nei servizi sanitari;68
Responsabili degli acquisti;Specialisti nell'assistenza sociale e nell'orientamento;58
Responsabili degli acquisti;Tecnici dei centri di informazione;71
Responsabili degli acquisti;Aiuto contabili;71
Responsabili degli acquisti;Ingegneri elettronici;48
Responsabili degli acquisti;Addetti all'informazione;59
Responsabili degli acquisti;Contabili;82
Responsabili degli acquisti;Dirigenti nel commercio all'ingrosso e al dettaglio;95
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Sviluppatori Web e multimediali;69
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Dirigenti nel settore ricerca e sviluppo;53
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;63
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Grafici e progettisti multimediali;44
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Specialisti della pubblicitˆ e del marketing;48
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;57
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Dirigenti nei servizi finanziari;45
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Esattori di crediti ed assimilati;36
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Dirigenti nei servizi sanitari;51
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Specialisti nell'assistenza sociale e nell'orientamento;42
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Tecnici dei centri di informazione;52
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Aiuto contabili;46
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Ingegneri elettronici;45
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Addetti all'informazione;44
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Contabili;55
Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;Dirigenti nel commercio all'ingrosso e al dettaglio;59
Sviluppatori Web e multimediali;Dirigenti nel settore ricerca e sviluppo;59
Sviluppatori Web e multimediali;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;74
Sviluppatori Web e multimediali;Grafici e progettisti multimediali;61
Sviluppatori Web e multimediali;Specialisti della pubblicitˆ e del marketing;57
Sviluppatori Web e multimediali;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;58
Sviluppatori Web e multimediali;Dirigenti nei servizi finanziari;46
Sviluppatori Web e multimediali;Esattori di crediti ed assimilati;42
Sviluppatori Web e multimediali;Dirigenti nei servizi sanitari;50
Sviluppatori Web e multimediali;Specialisti nell'assistenza sociale e nell'orientamento;45
Sviluppatori Web e multimediali;Tecnici dei centri di informazione;52
Sviluppatori Web e multimediali;Aiuto contabili;40
Sviluppatori Web e multimediali;Ingegneri elettronici;50
Sviluppatori Web e multimediali;Addetti all'informazione;41
Sviluppatori Web e multimediali;Contabili;58
Sviluppatori Web e multimediali;Dirigenti nel commercio all'ingrosso e al dettaglio;63
Dirigenti nel settore ricerca e sviluppo;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;83
Dirigenti nel settore ricerca e sviluppo;Grafici e progettisti multimediali;55
Dirigenti nel settore ricerca e sviluppo;Specialisti della pubblicitˆ e del marketing;66
Dirigenti nel settore ricerca e sviluppo;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;88
Dirigenti nel settore ricerca e sviluppo;Dirigenti nei servizi finanziari;76
Dirigenti nel settore ricerca e sviluppo;Esattori di crediti ed assimilati;43
Dirigenti nel settore ricerca e sviluppo;Dirigenti nei servizi sanitari;71
Dirigenti nel settore ricerca e sviluppo;Specialisti nell'assistenza sociale e nell'orientamento;60
Dirigenti nel settore ricerca e sviluppo;Tecnici dei centri di informazione;53
Dirigenti nel settore ricerca e sviluppo;Aiuto contabili;47
Dirigenti nel settore ricerca e sviluppo;Ingegneri elettronici;48
Dirigenti nel settore ricerca e sviluppo;Addetti all'informazione;48
Dirigenti nel settore ricerca e sviluppo;Contabili;73
Dirigenti nel settore ricerca e sviluppo;Dirigenti nel commercio all'ingrosso e al dettaglio;91
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Grafici e progettisti multimediali;57
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Specialisti della pubblicitˆ e del marketing;62
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;84
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Dirigenti nei servizi finanziari;69
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Esattori di crediti ed assimilati;45
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Dirigenti nei servizi sanitari;66
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Specialisti nell'assistenza sociale e nell'orientamento;57
